Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1783984727.8518,16:18:47.851,21,false,0.0,4263.333,4367.564,4058.077,4320.513,4271.923
1783984727.8597,16:18:47.859,22,false,0.0,4270.0,4395.128,4049.103,4306.667,4228.462
1783984727.8675,16:18:47.867,23,false,0.0,4285.897,4408.846,4052.692,4323.846,4229.615
1783984727.8752,16:18:47.875,24,false,0.0,4282.051,4411.795,4065.0,4333.846,4256.026
1783984727.883,16:18:47.883,25,false,0.0,4275.256,4420.513,4063.333,4329.487,4248.205
1783984727.8908,16:18:47.890,26,false,0.0,4266.154,4415.897,4041.667,4323.205,4230.0
1783984727.8986,16:18:47.898,27,false,0.0,4235.385,4398.077,4021.026,4312.051,4221.538
1783984727.9063,16:18:47.906,28,false,0.0,4217.821,4382.179,4006.41,4312.436,4202.564
1783984727.9141,16:18:47.914,29,false,0.0,4221.154,4349.231,3993.205,4320.897,4201.026
1783984727.9219,16:18:47.921,30,false,0.0,4201.41,4295.769,3988.205,4326.923,4229.359
1783984727.9297,16:18:47.929,31,false,0.0,4180.513,4268.205,3992.436,4353.333,4254.872
1783984727.9375,16:18:47.937,32,false,0.0,4201.026,4294.359,4020.0,4377.692,4291.026
1783984727.9453,16:18:47.945,33,false,0.0,4231.026,4339.359,4074.615,4356.154,4336.795
1783984727.9531,16:18:47.953,34,false,0.0,4236.667,4358.462,4094.872,4322.564,4327.564
1783984727.9609,16:18:47.960,35,false,0.0,4230.641,4365.256,4057.308,4311.538,4265.0
1783984727.9686,16:18:47.968,36,false,0.0,4228.205,4392.051,4041.923,4307.436,4226.282
1783984727.9764,16:18:47.976,37,false,0.0,4235.897,4413.718,4068.718,4316.154,4229.615
1783984727.9842,16:18:47.984,38,false,0.0,4253.718,4408.077,4067.436,4343.205,4229.231
1783984727.992,16:18:47.992,39,false,0.0,4268.718,4409.359,4042.949,4350.385,4216.538
1783984727.9997,16:18:47.999,40,false,0.0,4277.692,4415.256,4031.923,4326.795,4220.769
1783984728.0075,16:18:48.007,41,false,0.0,4292.564,4387.692,4003.462,4326.667,4232.308
1783984728.0154,16:18:48.015,42,false,0.0,4302.949,4347.949,3975.256,4373.846,4242.821
1783984728.0232,16:18:48.023,43,false,0.0,4286.282,4325.0,4003.718,4405.513,4290.513
1783984728.0309,16:18:48.030,44,false,0.0,4260.513,4304.872,4040.769,4397.692,4356.923
1783984728.0387,16:18:48.038,45,false,0.0,4254.872,4304.872,4041.41,4399.744,4373.333
1783984728.0465,16:18:48.046,46,false,0.0,4256.923,4341.41,4058.333,4386.923,4358.077
1783984728.0543,16:18:48.054,47,false,0.0,4260.769,4370.897,4086.538,4331.026,4359.487
1783984728.062,16:18:48.062,48,false,0.0,4272.179,4379.103,4071.538,4311.282,4356.923
1783984728.0698,16:18:48.069,49,false,0.0,4258.205,4391.538,4047.692,4323.718,4331.795
1783984728.0776,16:18:48.077,50,false,0.0,4220.513,4390.0,4051.795,4295.385,4298.59
1783984728.0854,16:18:48.085,51,false,0.0,4217.564,4371.154,4057.308,4286.41,4271.41
1783984728.0934,16:18:48.093,52,false,0.0,4238.718,4378.974,4060.769,4312.692,4257.692
1783984728.1012,16:18:48.101,53,false,0.0,4235.897,4397.692,4060.256,4291.41,4241.538
1783984728.109,16:18:48.109,54,false,0.0,4235.385,4388.718,4046.538,4276.026,4221.026
1783984728.1168,16:18:48.116,55,false,0.0,4260.385,4386.538,4057.179,4311.795,4226.538
1783984728.1247,16:18:48.124,56,false,0.0,4279.103,4407.308,4085.769,4317.051,4245.385
1783984728.1325,16:18:48.132,57,false,0.0,4277.308,4404.615,4073.205,4308.718,4250.385
1783984728.1403,16:18:48.140,58,false,0.0,4265.897,4385.897,4051.026,4317.308,4260.385
1783984728.1481,16:18:48.148,59,false,0.0,4261.667,4389.103,4064.103,4285.385,4272.564
1783984728.156,16:18:48.156,60,false,0.0,4274.487,4392.179,4067.949,4267.821,4270.256
1783984728.1638,16:18:48.163,61,false,0.0,4280.385,4385.897,4063.59,4308.205,4275.641
1783984728.1717,16:18:48.171,62,false,0.0,4273.077,4399.359,4090.0,4315.769,4292.179
1783984728.1795,16:18:48.179,63,false,0.0,4283.333,4408.974,4097.564,4303.846,4303.205
1783984728.1874,16:18:48.187,64,false,0.0,4294.872,4385.256,4064.231,4317.564,4312.051
1783984728.1952,16:18:48.195,65,false,0.0,4279.231,4370.641,4055.641,4295.0,4308.718
1783984728.203,16:18:48.203,66,false,0.0,4268.59,4389.872,4070.256,4263.846,4284.103
1783984728.2108,16:18:48.210,67,false,0.0,4278.205,4401.923,4057.949,4274.744,4257.179
1783984728.2187,16:18:48.218,68,false,0.0,4279.487,4395.769,4037.308,4275.897,4235.0
1783984728.2265,16:18:48.226,69,false,0.0,4281.282,4402.564,4035.897,4288.974,4221.026
1783984728.2343,16:18:48.234,70,false,0.0,4300.0,4421.154,4038.59,4329.103,4223.718
1783984728.2421,16:18:48.242,71,false,0.0,4310.256,4422.308,4033.077,4310.513,4232.949
1783984728.2501,16:18:48.250,72,false,0.0,4307.051,4400.513,4019.872,4282.692,4245.897
1783984728.2579,16:18:48.257,73,false,0.0,4315.0,4376.795,4007.308,4337.051,4268.718
1783984728.2657,16:18:48.265,74,false,0.0,4318.846,4360.769,4011.41,4383.846,4294.359
1783984728.2735,16:18:48.273,75,false,0.0,4291.923,4337.179,4032.949,4367.821,4322.436
1783984728.2814,16:18:48.281,76,false,0.0,4263.333,4309.487,4056.795,4350.0,4350.513
1783984728.2892,16:18:48.289,77,false,0.0,4261.538,4314.103,4066.282,4328.59,4359.487
1783984728.297,16:18:48.297,78,false,0.0,4259.744,4350.0,4056.538,4289.487,4343.846
1783984728.3048,16:18:48.304,79,false,0.0,4246.667,4371.667,4048.974,4262.308,4312.051
1783984728.3125,16:18:48.312,80,false,0.0,4247.949,4373.846,4061.923,4245.128,4287.051
1783984728.3203,16:18:48.320,81,false,0.0,4251.923,4383.077,4075.0,4235.513,4284.487
1783984728.3282,16:18:48.328,82,false,0.0,4238.846,4390.256,4068.846,4240.385,4272.179
1783984728.336,16:18:48.336,83,false,0.0,4236.667,4387.051,4059.231,4243.59,4236.795
1783984728.3437,16:18:48.343,84,false,0.0,4254.615,4390.513,4053.846,4249.487,4217.179
1783984728.3515,16:18:48.351,85,false,0.0,4261.026,4398.077,4036.923,4268.333,4210.641
1783984728.3593,16:18:48.359,86,false,0.0,4262.821,4405.128,4016.026,4281.282,4200.385
1783984728.3671,16:18:48.367,87,false,0.0,4287.051,4416.282,4012.308,4291.41,4217.564
1783984728.3748,16:18:48.374,88,false,0.0,4310.897,4403.59,4012.308,4317.179,4257.564
1783984728.3826,16:18:48.382,89,false,0.0,4308.333,4357.949,4003.59,4340.0,4288.974
1783984728.3904,16:18:48.390,90,false,0.0,4294.487,4322.308,4010.769,4338.974,4324.615
1783984728.3983,16:18:48.398,91,false,0.0,4276.667,4309.487,4036.41,4323.077,4359.231
1783984728.4062,16:18:48.406,92,false,0.0,4251.026,4316.282,4050.897,4302.692,4362.949
1783984728.414,16:18:48.414,93,false,0.0,4239.615,4353.59,4056.282,4279.615,4345.256
1783984728.4218,16:18:48.421,94,false,0.0,4247.564,4374.872,4060.897,4264.744,4323.846
1783984728.4296,16:18:48.429,95,false,0.0,4244.615,4353.205,4051.538,4254.872,4300.385
1783984728.4375,16:18:48.437,96,false,0.0,4235.641,4359.615,4042.692,4233.462,4280.385
1783984728.4453,16:18:48.445,97,false,0.0,4248.333,4396.667,4053.077,4225.769,4262.821
1783984728.4531,16:18:48.453,98,false,0.0,4263.205,4389.487,4055.513,4249.231,4245.641
1783984728.4609,16:18:48.460,99,false,0.0,4263.462,4374.744,4038.205,4255.641,4228.077
1783984728.4688,16:18:48.468,100,false,0.0,4278.462,4404.231,4019.872,4247.949,4211.538
1783984728.4767,16:18:48.476,101,false,0.0,4303.718,4412.692,3996.026,4281.026,4213.718
1783984728.4845,16:18:48.484,102,false,0.0,4295.897,4366.026,3979.231,4314.103,4240.256
